procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 509260  44296 1057124    0    0     0     0  936  324  0  2 98  0  0  0
 1  0      0 509292  44304 1057124    0    0     0    16  990  346  0  1 98  0  0  0
 0  0      0 509300  44304 1057128    0    0     0     0  551  231  0  0 100  0  0  0
 0  0      0 509480  44304 1057128    0    0     0     0  864  336  1  1 98  0  0  0
 1  0      0 508484  44304 1057132    0    0     0     0  661  253  0  1 99  0  0  0
 0  0      0 509296  44304 1057132    0    0     0     0  907  332  0  1 99  0  0  0
 1  0      0 507128  44312 1057136    0    0     0    16  931  318  0  1 98  0  0  0
 0  0      0 509060  44312 1057144    0    0     0     0  902  306  0  1 99  0  0  0
 1  0      0 505908  44312 1057144    0    0     0     0  752  256  0  1 99  0  0  0
 3  0      0 508220  44312 1057144    0    0     0     0  839  288  0  1 99  0  0  0
 1  0      0 505564  44312 1057148    0    0     0    68 1113  364  0  2 98  0  0  0
 0  0      0 505976  44320 1057140    0    0     0    24 1126  359  0  1 98  0  0  0
 1  0      0 505064  44320 1057152    0    0     0     0  876  299  0  1 98  0  0  0
 0  0      0 509636  44320 1057156    0    0     0     0 1673  568  0  3 97  0  0  0
 0  0      0 509580  44320 1057156    0    0     0     0  645  270  0  1 99  0  0  0
 0  0      0 507392  44320 1057164    0    0     0   156 1228  519  1  2 97  0  0  0
 2  0      0 508560  44328 1057164    0    0     0   100  834  295  0  1 99  0  0  0
 2  0      0 504380  44328 1057168    0    0     0     0  993  362  0  1 99  0  0  0
 0  0      0 508204  44332 1057164    0    0     0     8  859  294  0  1 99  0  0  0
 0  0      0 509000  44332 1057172    0    0     0     0 1194  364  0  2 98  0  0  0
 2  0      0 507964  44332 1057172    0    0     0     0  930  342  0  1 98  0  0  0
 0  0      0 508128  44340 1057168    0    0     0    32 1273  401  0  2 98  0  0  0
 0  0      0 508508  44340 1057176    0    0     0     0  753  270  0  1 99  0  0  0
 0  0      0 508672  44340 1057180    0    0     0     0  935  465  0  1 99  0  0  0
 0  0      0 508568  44340 1057180    0    0     0     0  902  301  0  1 98  0  0  0
 0  0      0 508704  44340 1057184    0    0     0     0 1089  351  0  1 99  0  0  0
 0  0      0 508420  44348 1057180    0    0     0   116  676  303  0  1 99  0  0  0
 0  0      0 504080  44348 1057180    0    0     0     0  999  314  0  1 99  0  0  0
 0  0      0 507820  44348 1057192    0    0     0     0  650  245  0  1 99  0  0  0
 0  0      0 508204  44348 1057192    0    0     0     0  974  313  0  1 99  0  0  0
 0  0      0 507896  44348 1057196    0    0     0     0  710  281  0  1 99  0  0  0
 0  0      0 508104  44348 1057196    0    0     0     0 1012  319  0  1 98  0  0  0
 0  0      0 507696  44364 1057200    0    0     0    36  837  320  0  1 99  0  0  0
 0  0      0 507804  44364 1057200    0    0     0     0 1142  355  0  2 98  0  0  0
 0  0      0 508432  44364 1057204    0    0     0     0  883  322  1  1 98  0  0  0
 0  0      0 508244  44364 1057204    0    0     0     0 1205  369  0  2 98  0  0  0
 0  0      0 508084  44364 1057208    0    0     0     0  611  251  0  1 99  0  0  0
 0  0      0 507800  44372 1057212    0    0     0    24  978  330  0  1 98  0  0  0
 0  0      0 507816  44372 1057212    0    0     0     0  656  218  0  1 99  0  0  0
 0  0      0 507544  44372 1057212    0    0     0     0  832  295  0  1 99  0  0  0
 0  0      0 507760  44372 1057216    0    0     0     0  732  263  0  1 99  0  0  0
 0  0      0 507796  44372 1057220    0    0     0    68  781  275  0  1 99  0  0  0
 0  0      0 508376  44380 1057220    0    0     0    24  744  287  0  1 99  0  0  0
 0  0      0 507864  44380 1057224    0    0     0     0  849  286  0  1 99  0  0  0
 0  0      0 508056  44380 1057224    0    0     0     0  702  256  0  1 99  0  0  0
 0  0      0 508264  44380 1057208    0    0     0     0 1152  445  0  2 98  0  0  0
 0  0      0 508680  44380 1057208    0    0     0   124  748  348  0  1 99  0  0  0
 0  0      0 508388  44392 1057216    0    0     0    88 1021  313  0  2 98  0  0  0
 0  0      0 508944  44392 1057216    0    0     0     0  685  253  0  1 99  0  0  0
 0  0      0 509012  44392 1057220    0    0     0     4  951  327  0  1 99  0  0  0
 0  0      0 510032  44392 1057220    0    0     0     0 1051  328  0  2 98  0  0  0
 0  0      0 509180  44392 1057224    0    0     0     0 1077  334  0  2 98  0  0  0
 0  0      0 509764  44400 1057224    0    0     0    16  872  342  0  1 99  0  0  0
 0  0      0 509340  44400 1057228    0    0     0     0  980  334  0  2 98  0  0  0
 0  0      0 509140  44400 1057232    0    0     0     0  850  330  0  1 99  0  0  0
 0  0      0 509820  44400 1057232    0    0     0     0 1154  367  0  2 98  0  0  0
 0  0      0 508868  44400 1057236    0    0     0     0  892  328  0  1 99  0  0  0
 0  0      0 508772  44408 1057240    0    0     0   100  758  283  0  1 99  0  0  0
 0  0      0 509152  44408 1057240    0    0     0     0  692  247  0  1 99  0  0  0
 0  0      0 509480  44408 1057244    0    0     0     0 1132  366  0  2 98  0  0  0
 0  0      0 509472  44408 1057248    0    0     0     0  708  282  0  1 99  0  0  0
 0  0      0 509568  44408 1057248    0    0     0     0  908  297  0  1 99  0  0  0
 0  0      0 508832  44416 1057252    0    0     0    20  802  318  0  1 99  0  0  0
 0  0      0 509684  44416 1057252    0    0     0     0 1502  487  0  2 98  0  0  0
 0  0      0 503568  44416 1063208    0    0     0     0 1403  336  0  2 98  0  0  0
 0  0      0 503484  44416 1063208    0    0     0     0 1087  276  0  1 99  0  0  0
 0  0      0 504136  44416 1063212    0    0     0     0 1000  326  0  1 99  0  0  0
 0  0      0 503444  44424 1063204    0    0     0   148  697  259  0  1 99  0  0  0
 0  0      0 503320  44424 1063216    0    0     0     0  848  296  0  1 99  0  0  0
 0  0      0 504416  44424 1063216    0    0     0     0  885  291  0  1 99  0  0  0
 0  0      0 503836  44424 1063220    0    0     0     0  914  295  0  1 99  0  0  0
 0  0      0 503436  44424 1063220    0    0     0     0  851  281  0  1 99  0  0  0
 0  0      0 503132  44432 1063220    0    0     0    92  959  339  0  1 99  0  0  0
 0  0      0 503676  44432 1063224    0    0     0     0  644  234  0  1 99  0  0  0
 0  0      0 503744  44432 1063228    0    0     0     0  863  284  0  1 99  0  0  0
 0  0      0 503996  44432 1063228    0    0     0     0  904  283  0  1 99  0  0  0
 0  0      0 503928  44432 1063232    0    0     0     0 1018  361  0  1 99  0  0  0
 0  0      0 504208  44432 1063232    0    0     0     0  769  243  0  1 99  0  0  0
 0  0      0 503740  44440 1063236    0    0     0    16  818  283  0  1 98  0  0  0
 0  0      0 506508  44488 1061192    0    0    12   220 3434 3908  9  3 88  0  0  0
 0  0      0 521556  44488 1061192    0    0     0     8  821  312  0  1 99  0  0  0
 0  0      0 520876  44488 1061196    0    0     0     0  743  308  0  1 99  0  0  0
