procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 504028  44372 1063252    0    0     0     0  591  260  0  0 99  0  0  0
 0  0      0 504368  44380 1063252    0    0     0    16  704  291  0  1 99  0  0  0
 0  0      0 504888  44380 1063256    0    0     0     0  616  249  0  1 99  0  0  0
 0  0      0 505240  44380 1063256    0    0     0     0  653  264  0  1 99  0  0  0
 0  0      0 505156  44380 1063260    0    0     0     0  722  283  0  1 99  0  0  0
 0  0      0 505868  44380 1063264    0    0     0     0  672  260  0  1 99  0  0  0
 0  0      0 505724  44380 1063268    0    0     0     0  640  288  0  1 99  0  0  0
 0  0      0 506220  44388 1063268    0    0     0    16  825  314  1  1 99  0  0  0
 0  0      0 506596  44388 1063272    0    0     0     0  744  294  0  1 99  0  0  0
 0  0      0 505280  44388 1063272    0    0     0     0  739  263  0  1 99  0  0  0
 0  0      0 505168  44388 1063276    0    0     0     0  645  272  0  0 99  0  0  0
 0  0      0 504468  44388 1063280    0    0     0     0  597  262  0  0 100  0  0  0
 0  0      0 503776  44396 1063280    0    0     0    16  806  289  0  1 99  0  0  0
 0  0      0 504136  44396 1063284    0    0     0     0  911  349  0  1 99  0  0  0
 0  0      0 500732  44396 1066736    0    0     0     0 1117  377  0  1 99  0  0  0
 0  0      0 494392  44396 1072724    0    0     0     0  663  254  0  1 99  0  0  0
 0  0      0 494288  44396 1072724    0    0     0     0  764  303  0  1 99  0  0  0
 0  0      0 494236  44404 1072728    0    0     0    28  634  303  0  0 99  0  0  0
 0  0      0 494116  44404 1072728    0    0     0     0 2455  279  0  0 100  0  0  0
 0  0      0 493996  44404 1072732    0    0     0     0  803  329  0  1 99  0  0  0
 0  0      0 496532  44404 1072732    0    0     0     0  631  297  0  1 99  0  0  0
 0  0      0 496736  44404 1072736    0    0     0     0  667  266  0  1 99  0  0  0
 0  0      0 496068  44412 1072736    0    0     0    16  577  266  0  0 100  0  0  0
 0  0      0 495608  44412 1072740    0    0     0    68  783  320  0  1 99  0  0  0
 0  0      0 496032  44412 1072740    0    0     0     0  738  304  0  0 100  0  0  0
 0  0      0 496028  44412 1072740    0    0     0     0  432  208  0  0 100  0  0  0
 0  0      0 496524  44412 1072744    0    0     0     0  692  306  0  1 99  0  0  0
 0  0      0 496184  44420 1072748    0    0     0    48  597  270  0  0 100  0  0  0
 0  0      0 495924  44420 1072748    0    0     0     8  693  297  0  1 99  0  0  0
 0  0      0 495796  44420 1072748    0    0     0     0  504  214  0  0 100  0  0  0
 0  0      0 496088  44420 1072752    0    0     0     0  592  257  0  0 99  0  0  0
 0  0      0 495532  44420 1072752    0    0     0     0  489  222  0  0 100  0  0  0
 0  0      0 496204  44428 1072756    0    0     0    28  501  257  0  0 99  0  0  0
 0  0      0 495492  44428 1072756    0    0     0     0  606  246  0  0 99  0  0  0
 0  0      0 496172  44428 1072760    0    0     0     0  580  261  0  0 100  0  0  0
 0  0      0 495044  44428 1072760    0    0     0     0  382  183  0  0 100  0  0  0
 0  0      0 496240  44428 1072760    0    0     0     0  708  287  0  1 99  0  0  0
 0  0      0 495544  44436 1072756    0    0     0    16  480  220  0  0 99  0  0  0
 0  0      0 495112  44436 1072756    0    0     0     0  706  273  0  1 99  0  0  0
 0  0      0 495804  44436 1072768    0    0     0     0  548  226  0  0 100  0  0  0
 0  0      0 495708  44436 1072768    0    0     0     0  370  187  0  0 100  0  0  0
 0  0      0 496368  44436 1072772    0    0     0     0  620  271  0  1 99  0  0  0
 0  0      0 495280  44444 1072776    0    0     0    16  547  232  0  0 100  0  0  0
 0  0      0 496152  44444 1072776    0    0     0     0  496  194  0  0 100  0  0  0
 0  0      0 496076  44444 1072780    0    0     0     0  554  259  0  0 100  0  0  0
 0  0      0 497132  44444 1072780    0    0     0     0  501  197  0  0 100  0  0  0
